rank,prev_rank,name,league,off,def,spi
578,580,Portland Timbers 2,United Soccer League,0.99,2.7,16.3
579,581,Polokwane City FC,South African ABSA Premier League,0.5,1.83,16.28
580,582,Loudoun United FC,United Soccer League,0.95,2.65,16.21
581,583,Ottawa Fury FC,United Soccer League,0.59,2.01,16.19
582,589,Exeter City,English League Two,0.57,1.98,16.15
583,584,Central Coast Mariners,Australian A-League,0.7,2.24,15.84
584,585,AmaZulu,South African ABSA Premier League,0.4,1.67,15.8
585,588,Colchester United,English League Two,0.55,1.98,15.61
586,579,Trapani,Italy Serie B,0.57,2.02,15.56
587,587,Plymouth Argyle,English League Two,0.56,2.01,15.5
588,578,Cheltenham Town,English League Two,0.52,1.95,15.29
589,590,AFC Wimbledon,English League One,0.52,1.97,15.2
590,592,Charlotte Independence,United Soccer League,0.6,2.19,14.44
591,593,Kalmar FF,Swedish Allsvenskan,0.47,1.95,14.35
592,594,Vasby United,Swedish Allsvenskan,0.49,1.99,14.3
593,595,Saint Louis FC,United Soccer League,0.45,1.94,13.98
594,596,Oklahoma City Energy FC,United Soccer League,0.58,2.22,13.81
595,597,Rio Grande Valley FC Toros,United Soccer League,0.58,2.22,13.81
596,598,Black Leopards,South African ABSA Premier League,0.45,1.97,13.76
597,591,Tranmere Rovers,English League One,0.58,2.25,13.49
598,599,Falkenbergs FF,Swedish Allsvenskan,0.57,2.24,13.42
599,600,Baroka FC,South African ABSA Premier League,0.29,1.65,13.35
600,586,Northampton Town,English League Two,0.53,2.17,13.3
601,604,Rochdale,English League One,0.52,2.22,12.68
602,609,Salford City,English League Two,0.49,2.15,12.61
603,602,Las Vegas Lights FC,United Soccer League,0.57,2.39,12.05
604,603,Mansfield Town,English League Two,0.5,2.26,11.88
605,601,Forest Green Rovers,English League Two,0.28,1.8,11.6
606,605,Hartford Athletic,United Soccer League,0.78,2.88,11.42
607,606,Stellenbosch FC,South African ABSA Premier League,0.34,1.96,11.41
608,608,Bolton,English League One,0.52,2.37,11.27
609,612,Southend United,English League One,0.64,2.76,10.24
610,610,Swope Park Rangers,United Soccer League,0.68,2.87,9.98
611,611,Birmingham Legion FC,United Soccer League,0.39,2.26,9.95
612,613,Bethlehem Steel FC,United Soccer League,0.71,2.98,9.62
613,607,Oldham Athletic,English League Two,0.37,2.32,9.13
614,615,Atlanta United 2,United Soccer League,0.62,2.88,9.09
615,616,Tacoma Defiance,United Soccer League,0.57,2.78,9.08
616,617,Memphis 901 FC,United Soccer League,0.32,2.23,8.92
617,626,Crawley Town,English League Two,0.35,2.31,8.88
618,618,Newport County,English League Two,0.2,1.93,8.72
619,619,Tulsa Roughnecks,United Soccer League,0.47,2.63,8.56
620,614,Leyton Orient,English League Two,0.39,2.48,8.33
621,621,Port Vale,English League Two,0.26,2.16,8.29
622,625,Walsall,English League Two,0.24,2.19,7.64
623,623,Grimsby Town,English League Two,0.2,2.1,7.56
624,622,Stevenage,English League Two,0.2,2.1,7.54
625,620,Cambridge United,English League Two,0.22,2.19,7.25
626,624,Macclesfield,English League Two,0.2,2.21,6.91
627,627,Carlisle United,English League Two,0.21,2.38,6.08
628,628,Colorado Springs Switchbacks FC,United Soccer League,0.2,2.45,5.6
629,629,Morecambe,English League Two,0.2,2.49,5.39
